Painting_Name,Artist_Name,Date,Artist_Gender,Subject_Clothing,Subject_Location,Subject_Sight,Subject_Activity
"Portrait of a Noblewoman, Probably Isabella of Portugal (1397–1472)",Netherlandish Painter,1430,Anonymous,Dressed,Unknown,LookingAway,Potrait
Portrait of a Woman,Giovanni di Franco,1440,Male,Dressed,Interior,LookingAway,Potrait
Portrait of a Woman,Master of the Castello Nativity,1450,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Woman,Piero del Pollaiuolo (Piero di Jacopo Benci),1475,Male,Dressed,Interior,LookingAway,Potrait
Young Woman with a Pink,Hans Memling,1485,Male,Dressed,Interior,LookingAway,Activity
Selvaggia Sassetti (born 1470),Davide Ghirlandaio (David Bigordi),1487,Male,Dressed,Unknown,LookingAt,Potrait
Saint Justina of Padua,Bartolomeo Montagna (Bartolomeo Cincani),1490,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Young Woman,Lorenzo di Credi (Lorenzo d'Andrea d'Oderigo),1490,Male,Dressed,Outdoor,LookingAway,Potrait
Saint Lucy,Francesco Zaganelli (Francesco di Bosio),1499,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of an Italian Woman,German Painter,1500,Anonymous,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Bernhard Strigel,1510,Male,Dressed,Interior,LookingAway,Potrait
"Mary (1505–1558), Queen of Hungary",Jan Cornelisz Vermeyen,1520,Male,Dressed,Unknown,LookingAt,Potrait
Venus and Cupid,Lorenzo Lotto,1520,Male,Nude,Interior,LookingAt,Potrait
Portrait of a Widow,Corneille de Lyon,1525,Female,Dressed,Unknown,LookingAt,Potrait
"Lady Guildford (Mary Wotton, born 1500)",Hans Holbein the Younger,1527,Male,Dressed,Interior,LookingAt,Activity
Portrait of a Woman,"Italian (Florentine) Painter (possibly Jacopo Zucchi, Florence 1541–1590 Rome)",1530,Anonymous,Dressed,Interior,LookingAt,Potrait
Portrait of a Young Woman,Netherlandish Painter,1530,Anonymous,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Barthel Bruyn the Elder,1533,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Young Woman,Corneille de Lyon,1533,Female,Dressed,Unknown,LookingAway,Potrait
"Anne de Pisseleu (1508–1576), Duchesse d'Étampes",Corneille de Lyon,1535,Female,Dressed,Unknown,LookingAway,Potrait
"Margaret More (1505–1544), Wife of William Roper",Hans Holbein the Younger,1535,Male,Dressed,Unknown,LookingAway,Potrait
"Lady Rich (Elizabeth Jenks, died 1558)",Hans Holbein the Younger,1535,Male,Dressed,Unknown,LookingAway,Potrait
Katharina Merian,Hans Brosamer,1536,Male,Dressed,Unknown,LookingAway,Potrait
"Lady Lee (Margaret Wyatt, born about 1509)",Hans Holbein the Younger,1540,Male,Dressed,Unknown,LookingAt,Potrait
